Info 0    [18:19:28.895] Starting TS Server
Info 1    [18:19:28.896] Version: 4.1.3
Info 2    [18:19:28.896] Arguments: /Users/jd.gonzales/.nvm/versions/node/v15.4.0/bin/node /Users/jd.gonzales/.nvm/versions/node/v15.4.0/bin/tsserver --logFile /Users/jd.gonzales/code/my-blog-v2/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/mn/thnk83qx7wl5h1f4d_1qk4800000gp/T/4f67a6a02539271c83c6f1b8f7cf1806/tscancellation*
Info 3    [18:19:28.896] Platform: darwin NodeVersion: 15 CaseSensitive: false
Info 4    [18:19:28.896] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [18:19:28.908] Search path: /Users/jd.gonzales/code/my-blog-v2/static
Info 6    [18:19:28.909] For info: /Users/jd.gonzales/code/my-blog-v2/static/index.js :: No config files found.
Info 7    [18:19:28.913] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [18:19:29.452] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 538.852278009057ms
Info 9    [18:19:29.452] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [18:19:29.452] 	Files (6)

Info 11   [18:19:29.453] -----------------------------------------------
Info 12   [18:19:29.806] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [18:19:29.806] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 0.7239910066127777ms
Info 14   [18:19:32.261] Before ensureProjectForOpenFiles:
Info 15   [18:19:32.261] After ensureProjectForOpenFiles:
Info 16   [18:19:32.262] got projects updated in background, updating diagnostics for /Users/jd.gonzales/code/my-blog-v2/static/index.js
Info 17   [18:19:34.269] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [18:19:34.275] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 5.791066005825996ms
Info 19   [18:19:34.275] Different program with same set of files:: structureIsReused:: 2
Info 20   [18:19:35.446] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [18:19:35.450] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 3.6368849873542786ms
Info 22   [18:19:35.450] Different program with same set of files:: structureIsReused:: 2
